Index,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7
1,PHQ,,,,,,
2,"Ranges, Commissionerate and Districts",,,,,,
2.1.,,Gurugram Commissionerate,,,,,
2.1.1.,,,Gurugram District,,,,
2.1.1.1.,,,,CP Office,,,
2.1.1.2.,,,,Joint CP Office,,,
2.1.1.3.,,,,Zones,,,
2.1.1.3.1.,,,,,East Zone,,
2.1.1.3.1.1.,,,,,,DLF-II,
2.1.1.3.1.2.,,,,,,DLF,
2.1.1.3.1.3.,,,,,,DLF PHASE-1,
2.1.1.3.1.4.,,,,,,GURGAON SADAR,
2.1.1.3.1.5.,,,,,,SECTOR-40,
2.1.1.3.1.6.,,,,,,SECTOR-56,
2.1.1.3.1.7.,,,,,,SUSHANT LOK,
2.1.1.3.1.8.,,,,,,METRO,
2.1.1.3.1.9.,,,,,,SECTOR - 50,
2.1.1.3.1.10.,,,,,,SECTOR - 53,
2.1.1.3.1.11.,,,,,,"Cyber Crime Police Station, Gurugram",
2.1.1.3.1.12.,,,,,,DLF PH-3rd,
2.1.1.3.1.13.,,,,,,PS Cyber Manesar,
2.1.1.3.1.14.,,,,,,PS Cyber West,
2.1.1.3.1.15.,,,,,,PS Cyber South,
2.1.1.3.1.16.,,,,,,ABVT STAFF,
2.1.1.3.1.17.,,,,,,ADR Centre,
2.1.1.3.1.18.,,,,,,ANC,
2.1.1.3.1.19.,,,,,,Challaning Branch,
2.1.1.3.1.20.,,,,,,CIA,
2.1.1.3.1.21.,,,,,,Couple Protection Cell,
2.1.1.3.1.22.,,,,,,Court Security,
2.1.1.3.1.23.,,,,,,Deputation,
2.1.1.3.1.24.,,,,,,DPO,
2.1.1.3.1.25.,,,,,,EOW,
2.1.1.3.1.26.,,,,,,GO Staffs,
2.1.1.3.1.27.,,,,,,Gunmen,
2.1.1.3.1.28.,,,,,,Head Proficient,
2.1.1.3.1.29.,,,,,,Judicial Lockup,
2.1.1.3.1.30.,,,,,,Missing Person Cell,
2.1.1.3.1.31.,,,,,,Naib Court,
2.1.1.3.1.32.,,,,,,Naib Court (Civil),
2.1.1.3.1.33.,,,,,,Pairvi Cell,
2.1.1.3.1.34.,,,,,,PO STAFF,
